,Title,Length,Series
0,New Spring,122150,Wheel of Time
1,The Eye of the World,305902,Wheel of Time
2,The Great Hunt,267078,Wheel of Time
3,The Dragon Reborn,251392,Wheel of Time
4,The Shadow Rising,393823,Wheel of Time
5,The Fires of Heaven,354109,Wheel of Time
6,Lord of Chaos,389823,Wheel of Time
7,A Crown of Swords,295028,Wheel of Time
8,The Path of Daggers,226687,Wheel of Time
9,Winter's Heart,238789,Wheel of Time
10,Crossroads of Twilight,271632,Wheel of Time
11,Knife of Dreams,315163,Wheel of Time
12,The Gathering Storm,297502,Wheel of Time
13,Towers of Midnight,327052,Wheel of Time
14,A Memory of Light,353906,Wheel of Time
